token,df,tf,cluster,cluster_centrality,svd_c1,rank_score
볶음,6,7,3,5.4195063699731225,0.17825340371437257,-0.7506855170017064
1개,5,5,0,4.9825924281479255,0.3347085045229732,-0.7620178739187208
출근,5,5,3,6.1597887037710235,0.14344049042077464,-0.7690539298304631
점심밥,5,5,3,6.4007676004106475,0.10253243627551026,-0.7712994681356176
매콤하게,5,5,3,6.162173175275738,0.13303654051242275,-0.7736655092818367
아침밥,5,5,3,6.254668638858169,0.10923026563517678,-0.7782471509534643
도시락도시락,8,8,3,4.752764291673196,0.06833587298522939,-0.778341825705422
있던,6,6,3,5.060264268881535,0.1905695193534243,-0.782279461439449
원하는,5,5,3,6.216313293655046,0.09082993269731972,-0.7893234551908407
싶을,5,5,1,4.292530684178088,0.3651743919626829,-0.795370337054874
instagood,7,7,3,5.528774262185343,0.0027855444160232255,-0.7957630149298247
mamagirl,7,7,3,5.528774262185343,0.0027855444160232255,-0.7957630149298247
happykbaglecafe,8,8,3,4.812072255133592,9.29724793835865e-05,-0.805595264955654
자꾸,5,5,0,4.463717429669995,0.314630076495538,-0.8068261378254873
깍두기,6,6,3,5.169157795578296,0.1148448861841366,-0.8095654486072033
onigiriaction,6,6,3,5.911161386050774,0.002691086407966946,-0.8101426252001651
계란후라이,6,6,3,4.9744079907573004,0.1361746190601378,-0.8131347212927885
peanuts,8,8,3,4.671131195937153,9.701917887189935e-05,-0.8152614096568018
snoopy,8,8,3,4.671131195937153,9.701917887189935e-05,-0.8152614096568018
부터,6,6,3,5.074018936709587,0.10543628433167251,-0.8204099056505471
어묵,5,5,5,4.831924510755335,0.22277795880501167,-0.8237263352670908
Foodie,5,5,3,5.495730808965412,0.10914162951521311,-0.8303479812184071
할로윈도시락,6,6,3,5.37944137441451,0.037439705737806174,-0.8306678050654344
일기,5,5,3,5.0980571411101465,0.1245654112192189,-0.8505477117088361
할로윈,6,12,3,3.910848305081594,0.04863533911965053,-0.850644225849801
디자인,5,8,0,4.199436510773939,0.16719722569700157,-0.8548102581025345
추가,5,6,3,4.767567459999398,0.128017005707474,-0.8590296808229042
포도,5,6,3,4.984295947250375,0.08738058990969472,-0.8628140267831412
현장학습,6,6,3,4.542576701109068,0.056345198663336656,-0.8793962945338201
용기,5,5,3,4.990046788725056,0.06594206311012117,-0.8848634024219743
아니고,5,5,3,4.712826002069509,0.09412327125681512,-0.8909452093921022
japanesebento,5,5,3,5.20884164814537,0.005770215547818375,-0.8974722629754086
아기도시락,8,8,3,2.9212660286785685,0.05175652047588346,-0.9115848946810888
해도,5,5,3,3.8666170295307163,0.1412778418649543,-0.9273490825692456
싸도,5,5,3,4.0173196773586355,0.1063188066337656,-0.933056769962439
현장체험학습,6,6,3,3.733437878100548,0.05773006229638594,-0.9342644169738442
감사합니다,5,5,3,3.8173004960749917,0.07608540247390866,-0.960653651834135
lunchboxideas,5,5,3,3.873883173878662,0.059017770655769436,-0.9646059058324501
가을이,5,5,3,3.619364404892612,0.08694604309034268,-0.9692465346987102
단체급식,5,6,3,3.3486792433952366,0.06236600948910329,-0.9864919437984057
